GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
3119	1.66e-21	1.11e-25	0.2589	-10.4760127	-2.71180601	235.44	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1
3728	6.42e-12	8.59e-16	0.3336	-8.0455238	-2.68366233	112.29	JUP	junction plakoglobin
9720	1.01e-10	2.02e-14	0.2827	-7.6491913	-2.16245043	42.73	CCDC144A	coiled-coil domain containing 144A
106480429	7.60e-09	2.03e-12	0.3543	-7.0322074	-2.4915348	33.37	HLA-DQB1-AS1	HLA-DQB1 antisense RNA 1
162632	1.31e-08	4.37e-12	0.5954	-6.9246495	-4.12316492	16.99	USP32P1	ubiquitin specific peptidase 32 pseudogene 1
283358	2.81e-04	1.13e-07	0.3813	5.304995	2.02264186	26.37	B4GALNT3	beta-1,4-N-acetyl-galactosaminyltransferase 3
105373105	9.50e-04	4.45e-07	0.5577	5.0486819	2.81589669	16.16	LINC02968	long intergenic non-protein coding RNA 2968
3117	1.70e-03	9.08e-07	0.283	-4.9104997	-1.3895685	184.2	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1
112268446	2.31e-03	1.54e-06	0.3235	-4.8056868	-1.55456761	64.91	LOC112268446	
8857	2.31e-03	1.54e-06	0.3776	-4.8065663	-1.81485705	74.56	FCGBP	Fc gamma binding protein
3120	2.38e-03	1.75e-06	0.4237	4.7800483	2.02527389	19.86	HLA-DQB2	major histocompatibility complex, class II, DQ beta 2
115350	4.25e-03	3.69e-06	0.4603	-4.6280065	-2.1304831	457.35	FCRL1	Fc receptor like 1
101926893	4.25e-03	3.50e-06	0.4339	-4.6391405	-2.01305698	88.23	LIX1-AS1	LIX1 and RIOK2 antisense RNA 1
100288778	4.39e-03	4.11e-06	0.1945	-4.6057797	-0.89574326	109.08	WASH8P	WAS protein family homolog 8, pseudogene
414	5.74e-03	5.76e-06	0.1926	-4.5351222	-0.8735103	77.65	ARSD	arylsulfatase D
11226	1.16e-02	1.24e-05	0.2002	-4.3696372	-0.87489887	87.33	GALNT6	polypeptide N-acetylgalactosaminyltransferase 6
105369315	1.22e-02	1.39e-05	0.5747	-4.3454439	-2.49711306	54.96	LOC105369315	uncharacterized LOC105369315
107985027	1.34e-02	1.61e-05	0.1372	4.3130634	0.5916871	215.16	LOC107985027	uncharacterized LOC107985027
3139	1.37e-02	1.83e-05	0.4147	4.2847421	1.7766973	77.95	HLA-L	major histocompatibility complex, class I, L (pseudogene)
55655	1.37e-02	1.80e-05	0.4811	-4.2879295	-2.06281723	27.26	NLRP2	NLR family pyrin domain containing 2
107985563	1.62e-02	2.27e-05	0.6578	-4.2361926	-2.78644417	13.74	LOC107985563	uncharacterized LOC107985563
3118	1.77e-02	2.61e-05	0.5212	4.2051518	2.19177253	34.94	HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2
5101	2.41e-02	3.87e-05	0.4925	-4.1149594	-2.02667599	109.82	PCDH9	protocadherin 9
100288203	2.41e-02	3.84e-05	0.1462	-4.1171177	-0.60208109	149.32	WHAMMP4	WHAMM pseudogene 4
22895	2.52e-02	4.22e-05	0.6821	-4.0950763	-2.79339669	13.65	RPH3A	rabphilin 3A
115352	2.69e-02	4.88e-05	0.2967	-4.061153	-1.20503199	176.52	FCRL3	Fc receptor like 3
10720	2.69e-02	5.05e-05	0.3525	-4.0535259	-1.42890318	30.61	UGT2B11	UDP glucuronosyltransferase family 2 member B11
55073	2.69e-02	4.87e-05	0.3522	-4.0616838	-1.43057451	247.01	LRRC37A4P	leucine rich repeat containing 37 member A4, pseudogene
57156	2.90e-02	5.62e-05	0.3694	4.0281924	1.48793033	19.25	TMEM63C	transmembrane protein 63C
100506084	3.07e-02	6.16e-05	0.1647	4.0065846	0.6598768	107.98	ARL17B	ADP ribosylation factor like GTPase 17B
100616374	3.13e-02	6.55e-05	0.5061	-3.9921075	-2.02047635	26.85	MIR4539	microRNA 4539
11326	3.13e-02	6.70e-05	0.2997	-3.9867845	-1.19480768	49.13	VSIG4	V-set and immunoglobulin domain containing 4
2624	4.99e-02	1.17e-04	0.2166	3.852519	0.83448155	91.63	GATA2	GATA binding protein 2
79633	4.99e-02	1.14e-04	0.419	-3.8582091	-1.616699	15.02	FAT4	FAT atypical cadherin 4
348093	4.99e-02	1.11e-04	0.4431	-3.8658285	-1.71288244	14.81	RBPMS2	RNA binding protein, mRNA processing factor 2
105377267	6.12e-02	1.47e-04	0.3583	-3.7952644	-1.35975714	35.04	LOC105377267	uncharacterized LOC105377267
3915	6.24e-02	1.62e-04	0.3434	-3.7715252	-1.29524093	43.27	LAMC1	laminin subunit gamma 1
1359	6.24e-02	1.63e-04	0.4051	3.7708005	1.52757831	16.87	CPA3	carboxypeptidase A3
100616422	6.24e-02	1.63e-04	0.4348	-3.7708936	-1.63975484	30.23	MIR4537	microRNA 4537
102725082	7.50e-02	2.06e-04	0.463	-3.7119116	-1.71855359	26.45	LOC102725082	uncharacterized LOC102725082
728577	7.50e-02	2.06e-04	1.1396	3.7118122	4.22998012	112.45	CNTNAP3B	contactin associated protein family member 3B
4064	7.95e-02	2.29e-04	0.2499	-3.6851766	-0.9208169	95.07	CD180	CD180 molecule
57480	7.95e-02	2.29e-04	0.3407	-3.6851956	-1.2555213	62.76	PLEKHG1	pleckstrin homology and RhoGEF domain containing G1
105376505	9.00e-02	2.65e-04	0.6044	-3.6473645	-2.2045911	50.98	LOC105376505	uncharacterized LOC105376505
9957	9.02e-02	2.72e-04	0.534	-3.6410321	-1.94440808	23.54	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1
1690	9.17e-02	2.82e-04	0.4984	-3.6310807	-1.80956225	11.74	COCH	cochlin
6231	1.10e-01	3.45e-04	0.4283	-3.5788732	-1.53295552	164.78	RPS26	ribosomal protein S26
283663	1.10e-01	3.52e-04	0.4444	-3.5738288	-1.58835584	126.55	LINC00926	long intergenic non-protein coding RNA 926
25924	1.15e-01	3.77e-04	0.3533	-3.5557306	-1.2561493	19.38	MYRIP	myosin VIIA and Rab interacting protein
22807	1.19e-01	3.97e-04	0.3557	-3.5421291	-1.26000137	269.11	IKZF2	IKAROS family zinc finger 2
118433	1.30e-01	4.61e-04	0.5405	3.5022438	1.89291945	33.56	RPL23AP7	ribosomal protein L23a pseudogene 7
26228	1.30e-01	4.64e-04	0.4934	-3.5004644	-1.72725326	42.2	STAP1	signal transducing adaptor family member 1
3067	1.30e-01	4.70e-04	0.2785	3.4972448	0.97399873	60.11	HDC	histidine decarboxylase
933	1.30e-01	4.55e-04	0.4385	-3.5058798	-1.53723937	187.61	CD22	CD22 molecule
100652781	1.32e-01	4.85e-04	0.5775	-3.489028	-2.01482026	18.44	SNX29P1	sorting nexin 29 pseudogene 1
167410	1.35e-01	5.13e-04	0.6201	-3.4737159	-2.15398907	27.51	LIX1	limb and CNS expressed 1
10863	1.35e-01	5.21e-04	0.3202	-3.4698609	-1.11106963	151.71	ADAM28	ADAM metallopeptidase domain 28
977	1.35e-01	5.24e-04	0.3305	3.4680894	1.14632906	75.47	CD151	CD151 molecule (Raph blood group)
3899	1.40e-01	5.54e-04	0.4941	-3.4533929	-1.70618682	179.59	AFF3	ALF transcription elongation factor 3
202020	1.42e-01	5.70e-04	0.3334	-3.445571	-1.14869284	22.03	TAPT1-AS1	TAPT1 antisense RNA 1 (head to head)
101927015	1.47e-01	6.03e-04	0.285	-3.4300399	-0.97762452	46.66	LINC01506	long intergenic non-protein coding RNA 1506
25984	1.47e-01	6.10e-04	0.287	-3.4270519	-0.98367599	210.11	KRT23	keratin 23
9173	1.55e-01	6.51e-04	0.4518	-3.4093209	-1.54035803	67.7	IL1RL1	interleukin 1 receptor like 1
28796	1.66e-01	7.11e-04	0.6924	-3.385272	-2.34401647	17.52	IGLV3-21	immunoglobulin lambda variable 3-21
727	1.67e-01	7.28e-04	0.264	-3.3788964	-0.89217723	43.56	C5	complement C5
9817	1.71e-01	7.56e-04	0.1764	3.3683404	0.59415232	83.61	KEAP1	kelch like ECH associated protein 1
23189	1.77e-01	7.93e-04	0.3126	-3.3552683	-1.04875906	30.61	KANK1	KN motif and ankyrin repeat domains 1
60468	1.80e-01	8.19e-04	0.3698	-3.3461608	-1.23724544	330.71	BACH2	BTB domain and CNC homolog 2
100288798	1.81e-01	8.35e-04	0.4078	-3.3408136	-1.36232286	25.38	SLC38A4-AS1	SLC38A4 antisense RNA 1
401145	1.84e-01	8.94e-04	0.3992	-3.3218892	-1.3259646	38.56	CCSER1	coiled-coil serine rich protein 1
7204	1.84e-01	8.73e-04	0.2074	-3.3286106	-0.69024309	304.8	TRIO	trio Rho guanine nucleotide exchange factor
107984508	1.84e-01	8.79e-04	0.4496	-3.326798	-1.49580613	12.15	SLC4A8-AS1	SLC4A8 antisense RNA 1
199786	1.84e-01	9.00e-04	0.4002	-3.3199045	-1.32850146	217.41	NIBAN3	niban apoptosis regulator 3
932	1.94e-01	9.60e-04	0.3792	3.3019161	1.25223906	40.12	MS4A3	membrane spanning 4-domains A3
6612	1.94e-01	9.75e-04	0.1665	3.2975004	0.54887799	115.77	SUMO3	small ubiquitin like modifier 3
112268421	2.05e-01	1.05e-03	0.5376	-3.2766427	-1.76162299	48.52	LOC112268421	
348110	2.05e-01	1.06e-03	0.5003	3.2748786	1.63853722	32.54	ARPIN	actin related protein 2/3 complex inhibitor
7543	2.09e-01	1.09e-03	0.141	-3.2662729	-0.46045099	371.18	ZFX	zinc finger protein X-linked
2206	2.28e-01	1.22e-03	0.3458	3.2344764	1.11835607	39.97	MS4A2	membrane spanning 4-domains A2
